id,vendor_id,pickup_date,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
1,2,3/14/2016 17:24,3/14/2016 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,455
2,1,6/12/2016 0:43,6/12/2016 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,663
3,2,1/19/2016 11:35,1/19/2016 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,2124
4,2,4/6/2016 19:32,4/6/2016 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,429
5,2,3/26/2016 13:30,3/26/2016 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,435
6,2,1/30/2016 22:01,1/30/2016 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,443
7,1,6/17/2016 22:34,6/17/2016 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,341
8,2,5/21/2016 7:54,5/21/2016 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,1551
9,1,5/27/2016 23:12,5/27/2016 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,255
10,2,3/10/2016 21:45,3/10/2016 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,1225
11,2,5/10/2016 22:08,5/10/2016 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,1274
12,2,5/15/2016 11:16,5/15/2016 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,1128
13,2,2/19/2016 9:52,2/19/2016 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,1114
14,2,6/1/2016 20:58,6/1/2016 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,260
15,2,5/27/2016 0:43,5/27/2016 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,1414
16,1,5/16/2016 15:29,5/16/2016 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,211
17,2,4/11/2016 17:29,4/11/2016 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,2316
18,1,4/14/2016 8:48,4/14/2016 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,731
19,1,6/27/2016 9:55,6/27/2016 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,1317
20,2,6/5/2016 13:47,6/5/2016 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,251
